ID,Product Name,Quantity,Date
P001,fresh green beans,1.0,2024-09-27
P002,oil,1.0,2024-10-05
P003,butter,1.0,2024-10-08
P004,water,1.0,2024-10-15
P005,soy sauce,1.0,2024-10-19
P006,ginger,1.0,2024-09-21
P007,large shrimp,1.0,2024-10-10
P008,whole wheat fusilli,1.0,2024-09-22
P009,olive oil,1.0,2024-10-14
P010,yellow onion,1.0,2024-10-09
P011,pesto sauce,1.0,2024-09-28
P012,dry white wine,1.0,2024-10-19
P013,lemon juice,1.0,2024-10-12
P014,fresh tomatoes,1.0,2024-10-01
P015,baby spinach,1.0,2024-10-20
P016,sea salt,1.0,2024-10-11
P017,pepper,1.0,2024-09-25
P018,garlic salt,1.0,2024-10-11
P019,flaked coconut,1.0,2024-10-10
P020,pecans,1.0,2024-09-25
P021,brown sugar,1.0,2024-10-19
P022,all-purpose flour,1.0,2024-09-29
P023,baking powder,1.0,2024-10-08
P024,salt,1.0,2024-10-02
P025,eggs,1.0,2024-09-25
P026,vanilla extract,1.0,2024-10-05
P027,pork chops,1.0,2024-10-08
P028,onions,1.0,2024-10-11
P029,lemons,1.0,2024-10-19
P030,ketchup,1.0,2024-09-21
P031,tabasco sauce,1.0,2024-10-05
P032,worcestershire sauce,1.0,2024-10-05
P033,garlic,1.0,2024-10-06
P034,shrimp,1.0,2024-10-19
P035,black pepper,1.0,2024-10-09
P036,parsley,1.0,2024-09-29
P037,cilantro,1.0,2024-10-04
P038,tomatoes,1.0,2024-09-20
P039,heavy cream,1.0,2024-10-15
P040,minced beef,1.0,2024-09-29
P041,egg yolks,1.0,2024-10-08
P042,potatoes,1.0,2024-10-05
P043,pickled beets,1.0,2024-10-14
P044,capers,1.0,2024-09-26
P045,noodles,1.0,2024-10-03
P046,beef bouillon cube,1.0,2024-09-21
P047,garlic clove,1.0,2024-09-27
P048,onion,1.0,2024-10-12
P049,cooking oil,1.0,2024-09-30
P050,ground beef,1.0,2024-10-18
P051,flour,1.0,2024-10-10
P052,paprika,1.0,2024-10-18
P053,mushrooms,1.0,2024-09-26
P054,condensed cream of chicken soup,1.0,2024-10-12
P055,sour cream,1.0,2024-10-07
P056,warm water,1.0,2024-09-20
P057,honey,1.0,2024-09-22
P058,bread flour,1.0,2024-10-06
P059,wheat flour,1.0,2024-10-04
P060,cocoa,1.0,2024-10-09
P061,granulated sugar,1.0,2024-10-20
P062,instant coffee granules,1.0,2024-10-16
P063,yeast,1.0,2024-09-20
P064,caramel coloring,1.0,2024-09-29
P065,cornmeal,1.0,2024-10-20
